Month,Phyla,Taxa,Zone,Site,N,SarGr,Nkg
Sep,Arthropoda,Portunus sayi,2m,3,0,1400,0
Sep,Arthropoda,Portunus sayi,2m,4,0,1680,0
Sep,Arthropoda,Portunus sayi,500m,1,2,160,12.5
Sep,Arthropoda,Portunus sayi,500m,2,2,80,25
Sep,Arthropoda,Portunus sayi,500m,3,3,440,6.8
Sep,Arthropoda,Portunus sayi,500m,4,0,160,0
Sep,Arthropoda,Portunus sayi,50m,1,3,410,7.3
Sep,Arthropoda,Portunus sayi,50m,2,1,110,9.1
Sep,Arthropoda,Portunus sayi,50m,3,1,90,11.1
Sep,Arthropoda,Portunus sayi,50m,4,0,280,0
Sep,Arthropoda,Probopyrinella latreuticola,2m,1,0,530,0
Sep,Arthropoda,Probopyrinella latreuticola,2m,2,0,1300,0
Sep,Arthropoda,Probopyrinella latreuticola,2m,3,0,1400,0
Sep,Arthropoda,Probopyrinella latreuticola,2m,4,0,1680,0
Sep,Arthropoda,Probopyrinella latreuticola,500m,1,4,160,25
Sep,Arthropoda,Probopyrinella latreuticola,500m,2,1,80,12.5
Sep,Arthropoda,Probopyrinella latreuticola,500m,3,0,440,0
Sep,Arthropoda,Probopyrinella latreuticola,500m,4,0,160,0
Sep,Arthropoda,Probopyrinella latreuticola,50m,1,1,410,2.4
Sep,Arthropoda,Probopyrinella latreuticola,50m,2,0,110,0
Sep,Arthropoda,Probopyrinella latreuticola,50m,3,2,90,22.2
Sep,Arthropoda,Probopyrinella latreuticola,50m,4,0,280,0
Sep,Arthropoda,Pycnogonidae,2m,1,0,530,0
Sep,Arthropoda,Pycnogonidae,2m,2,0,1300,0
Sep,Arthropoda,Pycnogonidae,2m,3,0,1400,0
Sep,Arthropoda,Pycnogonidae,2m,4,0,1680,0
Sep,Arthropoda,Pycnogonidae,500m,1,1,160,6.3
Sep,Arthropoda,Pycnogonidae,500m,2,0,80,0
Sep,Arthropoda,Pycnogonidae,500m,3,0,440,0
Sep,Arthropoda,Pycnogonidae,500m,4,0,160,0
Sep,Arthropoda,Pycnogonidae,50m,1,0,410,0
Sep,Arthropoda,Pycnogonidae,50m,2,0,110,0
Sep,Arthropoda,Pycnogonidae,50m,3,1,90,11.1
Sep,Arthropoda,Pycnogonidae,50m,4,0,280,0
Sep,Arthropoda,Sunamphitoe pelagica,2m,1,0,530,0
Sep,Arthropoda,Sunamphitoe pelagica,2m,2,0,1300,0
Sep,Arthropoda,Sunamphitoe pelagica,2m,3,0,1400,0
Sep,Arthropoda,Sunamphitoe pelagica,2m,4,0,1680,0
Sep,Arthropoda,Sunamphitoe pelagica,500m,1,0,160,0
Sep,Arthropoda,Sunamphitoe pelagica,500m,2,1,80,12.5
Sep,Arthropoda,Sunamphitoe pelagica,500m,3,3,440,6.8
Sep,Arthropoda,Sunamphitoe pelagica,500m,4,1,160,6.3
Sep,Arthropoda,Sunamphitoe pelagica,50m,1,0,410,0
Sep,Arthropoda,Sunamphitoe pelagica,50m,2,0,110,0
Sep,Arthropoda,Sunamphitoe pelagica,50m,3,3,90,33.3
Sep,Arthropoda,Sunamphitoe pelagica,50m,4,4,280,14.3
Sep,Arthropoda,Talitridae,2m,1,0,530,0
Sep,Arthropoda,Talitridae,2m,2,1,1300,0.8
Sep,Arthropoda,Talitridae,2m,3,2,1400,1.4
Sep,Arthropoda,Talitridae,2m,4,0,1680,0
Sep,Arthropoda,Talitridae,500m,1,0,160,0
Sep,Arthropoda,Talitridae,500m,2,0,80,0
Sep,Arthropoda,Talitridae,500m,3,0,440,0
Sep,Arthropoda,Talitridae,500m,4,0,160,0
Sep,Arthropoda,Talitridae,50m,1,0,410,0
Sep,Arthropoda,Talitridae,50m,2,0,110,0
Sep,Arthropoda,Talitridae,50m,3,0,90,0
Sep,Arthropoda,Talitridae,50m,4,0,280,0
Sep,Chordata,Abudefduf saxatilis,2m,1,0,530,0
Sep,Chordata,Abudefduf saxatilis,2m,2,0,1300,0
Sep,Chordata,Abudefduf saxatilis,2m,3,0,1400,0
Sep,Chordata,Abudefduf saxatilis,2m,4,0,1680,0
Sep,Chordata,Abudefduf saxatilis,500m,1,1,160,6.3
Sep,Chordata,Abudefduf saxatilis,500m,2,0,80,0
Sep,Chordata,Abudefduf saxatilis,500m,3,0,440,0
Sep,Chordata,Abudefduf saxatilis,500m,4,0,160,0
Sep,Chordata,Abudefduf saxatilis,50m,1,0,410,0
Sep,Chordata,Abudefduf saxatilis,50m,2,0,110,0
Sep,Chordata,Abudefduf saxatilis,50m,3,0,90,0
Sep,Chordata,Abudefduf saxatilis,50m,4,0,280,0
Sep,Chordata,Carangoides bartholomaei,2m,1,0,530,0
Sep,Chordata,Carangoides bartholomaei,2m,2,0,1300,0
Sep,Chordata,Carangoides bartholomaei,2m,3,0,1400,0
Sep,Chordata,Carangoides bartholomaei,2m,4,0,1680,0
Sep,Chordata,Carangoides bartholomaei,500m,1,0,160,0
Sep,Chordata,Carangoides bartholomaei,500m,2,0,80,0
Sep,Chordata,Carangoides bartholomaei,500m,3,0,440,0
Sep,Chordata,Carangoides bartholomaei,500m,4,0,160,0
Sep,Chordata,Carangoides bartholomaei,50m,1,0,410,0
Sep,Chordata,Carangoides bartholomaei,50m,2,0,110,0
Sep,Chordata,Carangoides bartholomaei,50m,3,0,90,0
Sep,Chordata,Carangoides bartholomaei,50m,4,0,280,0
Sep,Chordata,Histrio histrio,2m,1,0,530,0
Sep,Chordata,Histrio histrio,2m,2,0,1300,0
Sep,Chordata,Histrio histrio,2m,3,0,1400,0
Sep,Chordata,Histrio histrio,2m,4,0,1680,0
Sep,Chordata,Histrio histrio,500m,1,0,160,0
Sep,Chordata,Histrio histrio,500m,2,0,80,0
Sep,Chordata,Histrio histrio,500m,3,0,440,0
Sep,Chordata,Histrio histrio,500m,4,0,160,0
Sep,Chordata,Histrio histrio,50m,1,0,410,0
Sep,Chordata,Histrio histrio,50m,2,0,110,0
Sep,Chordata,Histrio histrio,50m,3,0,90,0
Sep,Chordata,Histrio histrio,50m,4,0,280,0
Sep,Chordata,Stephanolepis hispidus,2m,1,0,530,0
Sep,Chordata,Stephanolepis hispidus,2m,2,0,1300,0
Sep,Chordata,Stephanolepis hispidus,2m,3,0,1400,0
Sep,Chordata,Stephanolepis hispidus,2m,4,0,1680,0
Sep,Chordata,Stephanolepis hispidus,500m,1,0,160,0
Sep,Chordata,Stephanolepis hispidus,500m,2,0,80,0
Sep,Chordata,Stephanolepis hispidus,500m,3,0,440,0
Sep,Chordata,Stephanolepis hispidus,500m,4,0,160,0
Sep,Chordata,Stephanolepis hispidus,50m,1,0,410,0
Sep,Chordata,Stephanolepis hispidus,50m,2,0,110,0
Sep,Chordata,Stephanolepis hispidus,50m,3,0,90,0
Sep,Chordata,Stephanolepis hispidus,50m,4,0,280,0
Sep,Chordata,Syngnathus pelagicus,2m,1,0,530,0
Sep,Chordata,Syngnathus pelagicus,2m,2,0,1300,0
Sep,Chordata,Syngnathus pelagicus,2m,3,0,1400,0
Sep,Chordata,Syngnathus pelagicus,2m,4,0,1680,0
Sep,Chordata,Syngnathus pelagicus,500m,1,0,160,0
Sep,Chordata,Syngnathus pelagicus,500m,2,0,80,0
Sep,Chordata,Syngnathus pelagicus,500m,3,0,440,0
Sep,Chordata,Syngnathus pelagicus,500m,4,0,160,0
Sep,Chordata,Syngnathus pelagicus,50m,1,0,410,0
Sep,Chordata,Syngnathus pelagicus,50m,2,0,110,0
Sep,Chordata,Syngnathus pelagicus,50m,3,0,90,0
Sep,Chordata,Syngnathus pelagicus,50m,4,0,280,0
Sep,Mollusca,Litiopa melanostoma,2m,1,2,530,3.8
Sep,Mollusca,Litiopa melanostoma,2m,2,1,1300,0.8
Sep,Mollusca,Litiopa melanostoma,2m,3,0,1400,0
Sep,Mollusca,Litiopa melanostoma,2m,4,0,1680,0
Sep,Mollusca,Litiopa melanostoma,500m,1,1,160,6.3
Sep,Mollusca,Litiopa melanostoma,500m,2,6,80,75
Sep,Mollusca,Litiopa melanostoma,500m,3,24,440,54.5
Sep,Mollusca,Litiopa melanostoma,500m,4,1,160,6.3
Sep,Mollusca,Litiopa melanostoma,50m,1,19,410,46.3
Sep,Mollusca,Litiopa melanostoma,50m,2,2,110,18.2
Sep,Mollusca,Litiopa melanostoma,50m,3,14,90,155.6
Sep,Mollusca,Litiopa melanostoma,50m,4,18,280,64.3
Sep,Mollusca,Nudibranchia,2m,1,0,530,0
Sep,Mollusca,Nudibranchia,2m,2,0,1300,0
Sep,Mollusca,Nudibranchia,2m,3,0,1400,0
Sep,Mollusca,Nudibranchia,2m,4,0,1680,0
Sep,Mollusca,Nudibranchia,500m,1,0,160,0
Sep,Mollusca,Nudibranchia,500m,2,0,80,0
Sep,Mollusca,Nudibranchia,500m,3,0,440,0
Sep,Mollusca,Nudibranchia,500m,4,1,160,6.3
Sep,Mollusca,Nudibranchia,50m,1,0,410,0
Sep,Mollusca,Nudibranchia,50m,2,0,110,0
Sep,Mollusca,Nudibranchia,50m,3,0,90,0
Sep,Mollusca,Nudibranchia,50m,4,0,280,0
Sep,Nemathelminthes,Nematoda,2m,1,0,530,0
Sep,Nemathelminthes,Nematoda,2m,2,1,1300,0.8
Sep,Nemathelminthes,Nematoda,2m,3,0,1400,0
Sep,Nemathelminthes,Nematoda,2m,4,0,1680,0
Sep,Nemathelminthes,Nematoda,500m,1,0,160,0
Sep,Nemathelminthes,Nematoda,500m,2,0,80,0
Sep,Nemathelminthes,Nematoda,500m,3,0,440,0
Sep,Nemathelminthes,Nematoda,500m,4,0,160,0
Sep,Nemathelminthes,Nematoda,50m,1,0,410,0
Sep,Nemathelminthes,Nematoda,50m,2,0,110,0
Sep,Nemathelminthes,Nematoda,50m,3,0,90,0
Sep,Nemathelminthes,Nematoda,50m,4,1,280,3.6
Sep,Nemertea,Nemertea,2m,1,0,530,0
Sep,Nemertea,Nemertea,2m,2,0,1300,0
Sep,Nemertea,Nemertea,2m,3,0,1400,0
Sep,Nemertea,Nemertea,2m,4,0,1680,0
Sep,Nemertea,Nemertea,500m,1,1,160,6.3
Sep,Nemertea,Nemertea,500m,2,0,80,0
Sep,Nemertea,Nemertea,500m,3,0,440,0
Sep,Nemertea,Nemertea,500m,4,0,160,0
Sep,Nemertea,Nemertea,50m,1,0,410,0
Sep,Nemertea,Nemertea,50m,2,0,110,0
Sep,Nemertea,Nemertea,50m,3,0,90,0
Sep,Nemertea,Nemertea,50m,4,0,280,0
Oct,Annelida,Platynereis dumerilii,2m,1,315,693,454.5
Oct,Annelida,Platynereis dumerilii,2m,2,26,170,152.9
Oct,Annelida,Platynereis dumerilii,2m,3,11,685,16.1
Oct,Annelida,Platynereis dumerilii,2m,4,81,1905,42.5
Oct,Annelida,Platynereis dumerilii,500m,1,471,310,1519.4
Oct,Annelida,Platynereis dumerilii,500m,2,228,275,829.1
Oct,Annelida,Platynereis dumerilii,500m,3,362,592,611.5
Oct,Annelida,Platynereis dumerilii,500m,4,239,480,497.9
Oct,Annelida,Platynereis dumerilii,50m,1,192,213,901.4
Oct,Annelida,Platynereis dumerilii,50m,2,171,395,432.9
Oct,Annelida,Platynereis dumerilii,50m,3,270,310,871
Oct,Annelida,Platynereis dumerilii,50m,4,101,505,200
Oct,Arthropoda,Biancolina brassicacephala,2m,1,11,693,15.9
Oct,Arthropoda,Biancolina brassicacephala,2m,2,0,170,0
Oct,Arthropoda,Biancolina brassicacephala,2m,3,1,685,1.5
Oct,Arthropoda,Biancolina brassicacephala,2m,4,0,1905,0
Oct,Arthropoda,Biancolina brassicacephala,500m,1,10,310,32.3
Oct,Arthropoda,Biancolina brassicacephala,500m,2,5,275,18.2
Oct,Arthropoda,Biancolina brassicacephala,500m,3,9,592,15.2
Oct,Arthropoda,Biancolina brassicacephala,500m,4,8,480,16.7
Oct,Arthropoda,Biancolina brassicacephala,50m,1,3,213,14.1
Oct,Arthropoda,Biancolina brassicacephala,50m,2,7,395,17.7
Oct,Arthropoda,Biancolina brassicacephala,50m,3,4,310,12.9
Oct,Arthropoda,Biancolina brassicacephala,50m,4,1,505,2
Oct,Arthropoda,Carpias sp,2m,1,22,693,31.7
Oct,Arthropoda,Carpias sp,2m,2,0,170,0
Oct,Arthropoda,Carpias sp,2m,3,2,685,2.9
Oct,Arthropoda,Carpias sp,2m,4,2,1905,1
Oct,Arthropoda,Carpias sp,500m,1,56,310,180.6
Oct,Arthropoda,Carpias sp,500m,2,10,275,36.4
Oct,Arthropoda,Carpias sp,500m,3,10,592,16.9
Oct,Arthropoda,Carpias sp,500m,4,8,480,16.7
Oct,Arthropoda,Carpias sp,50m,1,18,213,84.5
Oct,Arthropoda,Carpias sp,50m,2,45,395,113.9
Oct,Arthropoda,Carpias sp,50m,3,25,310,80.6
Oct,Arthropoda,Carpias sp,50m,4,1,505,2
Oct,Arthropoda,Hyale sp,2m,1,0,693,0
Oct,Arthropoda,Hyale sp,2m,2,0,170,0
Oct,Arthropoda,Hyale sp,2m,3,0,685,0
Oct,Arthropoda,Hyale sp,2m,4,0,1905,0
Oct,Arthropoda,Hyale sp,500m,1,2,310,6.5
Oct,Arthropoda,Hyale sp,500m,2,3,275,10.9
Oct,Arthropoda,Hyale sp,500m,3,4,592,6.8
Oct,Arthropoda,Hyale sp,500m,4,2,480,4.2
Oct,Arthropoda,Hyale sp,50m,1,0,213,0
Oct,Arthropoda,Hyale sp,50m,2,1,395,2.5
Oct,Arthropoda,Hyale sp,50m,3,0,310,0
Oct,Arthropoda,Hyale sp,50m,4,0,505,0
Oct,Arthropoda,Latreutes fucorum,2m,1,145,693,209.2
Oct,Arthropoda,Latreutes fucorum,2m,2,4,170,23.5
Oct,Arthropoda,Latreutes fucorum,2m,3,3,685,4.4
Oct,Arthropoda,Latreutes fucorum,2m,4,2,1905,1
Oct,Arthropoda,Latreutes fucorum,500m,1,101,310,325.8
Oct,Arthropoda,Latreutes fucorum,500m,2,82,275,298.2
Oct,Arthropoda,Latreutes fucorum,500m,3,70,592,118.2
Oct,Arthropoda,Latreutes fucorum,500m,4,51,480,106.3
Oct,Arthropoda,Latreutes fucorum,50m,1,50,213,234.7
Oct,Arthropoda,Latreutes fucorum,50m,2,93,395,235.4
Oct,Arthropoda,Latreutes fucorum,50m,3,30,310,96.8
Oct,Arthropoda,Latreutes fucorum,50m,4,17,505,33.7
Oct,Arthropoda,Leander ternuicornis,2m,1,2,693,2.9
Oct,Arthropoda,Leander ternuicornis,2m,2,0,170,0
Oct,Arthropoda,Leander ternuicornis,2m,3,0,685,0
Oct,Arthropoda,Leander ternuicornis,2m,4,0,1905,0
Oct,Arthropoda,Leander ternuicornis,500m,1,2,310,6.5
Oct,Arthropoda,Leander ternuicornis,500m,2,15,275,54.5
Oct,Arthropoda,Leander ternuicornis,500m,3,7,592,11.8
Oct,Arthropoda,Leander ternuicornis,500m,4,9,480,18.8
Oct,Arthropoda,Leander ternuicornis,50m,1,1,213,4.7
Oct,Arthropoda,Leander ternuicornis,50m,2,12,395,30.4
Oct,Arthropoda,Leander ternuicornis,50m,3,1,310,3.2
Oct,Arthropoda,Leander ternuicornis,50m,4,8,505,15.8
Oct,Arthropoda,Nototropis minikoi,2m,1,0,693,0
Oct,Arthropoda,Nototropis minikoi,2m,2,9,170,52.9
Oct,Arthropoda,Nototropis minikoi,2m,3,6,685,8.8
Oct,Arthropoda,Nototropis minikoi,2m,4,2,1905,1
Oct,Arthropoda,Nototropis minikoi,500m,1,0,310,0
Oct,Arthropoda,Nototropis minikoi,500m,2,5,275,18.2
Oct,Arthropoda,Nototropis minikoi,500m,3,0,592,0
Oct,Arthropoda,Nototropis minikoi,500m,4,0,480,0
Oct,Arthropoda,Nototropis minikoi,50m,1,3,213,14.1
Oct,Arthropoda,Nototropis minikoi,50m,2,5,395,12.7
Oct,Arthropoda,Nototropis minikoi,50m,3,5,310,16.1
Oct,Arthropoda,Nototropis minikoi,50m,4,2,505,4
Oct,Arthropoda,Portunus sayi,2m,1,5,693,7.2
Oct,Arthropoda,Portunus sayi,2m,2,0,170,0
Oct,Arthropoda,Portunus sayi,2m,3,0,685,0
Oct,Arthropoda,Portunus sayi,2m,4,0,1905,0
Oct,Arthropoda,Portunus sayi,500m,1,3,310,9.7
Oct,Arthropoda,Portunus sayi,500m,2,1,275,3.6
Oct,Arthropoda,Portunus sayi,500m,3,0,592,0
Oct,Arthropoda,Portunus sayi,500m,4,0,480,0
Oct,Arthropoda,Portunus sayi,50m,1,2,213,9.4
Oct,Arthropoda,Portunus sayi,50m,2,6,395,15.2
Oct,Arthropoda,Portunus sayi,50m,3,3,310,9.7
Oct,Arthropoda,Portunus sayi,50m,4,0,505,0
Oct,Arthropoda,Probopyrinella latreuticola,2m,1,14,693,20.2
Oct,Arthropoda,Probopyrinella latreuticola,2m,2,1,170,5.9
Oct,Arthropoda,Probopyrinella latreuticola,2m,3,0,685,0
Oct,Arthropoda,Probopyrinella latreuticola,2m,4,1,1905,0.5
Oct,Arthropoda,Probopyrinella latreuticola,500m,1,7,310,22.6
Oct,Arthropoda,Probopyrinella latreuticola,500m,2,2,275,7.3
Oct,Arthropoda,Probopyrinella latreuticola,500m,3,0,592,0
Oct,Arthropoda,Probopyrinella latreuticola,500m,4,4,480,8.3
Oct,Arthropoda,Probopyrinella latreuticola,50m,1,7,213,32.9
Oct,Arthropoda,Probopyrinella latreuticola,50m,2,7,395,17.7
Oct,Arthropoda,Probopyrinella latreuticola,50m,3,0,310,0
Oct,Arthropoda,Probopyrinella latreuticola,50m,4,0,505,0
Oct,Arthropoda,Pycnogonidae,2m,1,7,693,10.1
Oct,Arthropoda,Pycnogonidae,2m,2,0,170,0
Oct,Arthropoda,Pycnogonidae,2m,3,0,685,0
Oct,Arthropoda,Pycnogonidae,2m,4,1,1905,0.5
Oct,Arthropoda,Pycnogonidae,500m,1,1,310,3.2
Oct,Arthropoda,Pycnogonidae,500m,2,1,275,3.6
Oct,Arthropoda,Pycnogonidae,500m,3,3,592,5.1
Oct,Arthropoda,Pycnogonidae,500m,4,1,480,2.1
Oct,Arthropoda,Pycnogonidae,50m,1,2,213,9.4
Oct,Arthropoda,Pycnogonidae,50m,2,3,395,7.6
Oct,Arthropoda,Pycnogonidae,50m,3,1,310,3.2
Oct,Arthropoda,Pycnogonidae,50m,4,1,505,2
Oct,Arthropoda,Sunamphitoe pelagica,2m,1,0,693,0
Oct,Arthropoda,Sunamphitoe pelagica,2m,2,0,170,0
Oct,Arthropoda,Sunamphitoe pelagica,2m,3,0,685,0
Oct,Arthropoda,Sunamphitoe pelagica,2m,4,0,1905,0
Oct,Arthropoda,Sunamphitoe pelagica,500m,1,0,310,0
Oct,Arthropoda,Sunamphitoe pelagica,500m,2,2,275,7.3
Oct,Arthropoda,Sunamphitoe pelagica,500m,3,0,592,0
Oct,Arthropoda,Sunamphitoe pelagica,500m,4,0,480,0
Oct,Arthropoda,Sunamphitoe pelagica,50m,1,0,213,0
Oct,Arthropoda,Sunamphitoe pelagica,50m,2,0,395,0
Oct,Arthropoda,Sunamphitoe pelagica,50m,3,0,310,0
Oct,Arthropoda,Sunamphitoe pelagica,50m,4,0,505,0
Oct,Arthropoda,Talitridae,2m,1,0,693,0
Oct,Arthropoda,Talitridae,2m,2,0,170,0
Oct,Arthropoda,Talitridae,2m,3,0,685,0
Oct,Arthropoda,Talitridae,2m,4,0,1905,0
Oct,Arthropoda,Talitridae,500m,1,0,310,0
Oct,Arthropoda,Talitridae,500m,2,0,275,0
Oct,Arthropoda,Talitridae,500m,3,0,592,0
Oct,Arthropoda,Talitridae,500m,4,0,480,0
Oct,Arthropoda,Talitridae,50m,1,0,213,0
Oct,Arthropoda,Talitridae,50m,2,3,395,7.6
Oct,Arthropoda,Talitridae,50m,3,0,310,0
Oct,Arthropoda,Talitridae,50m,4,0,505,0
Oct,Arthropoda,Zeuxo sp,2m,1,0,693,0
Oct,Arthropoda,Zeuxo sp,2m,2,0,170,0
Oct,Arthropoda,Zeuxo sp,2m,3,0,685,0
Oct,Arthropoda,Zeuxo sp,2m,4,0,1905,0
Oct,Arthropoda,Zeuxo sp,500m,1,0,310,0
Oct,Arthropoda,Zeuxo sp,500m,2,0,275,0
Oct,Arthropoda,Zeuxo sp,500m,3,0,592,0
Oct,Arthropoda,Zeuxo sp,500m,4,0,480,0
Oct,Arthropoda,Zeuxo sp,50m,1,0,213,0
Oct,Arthropoda,Zeuxo sp,50m,2,1,395,2.5
Oct,Arthropoda,Zeuxo sp,50m,3,0,310,0
Oct,Arthropoda,Zeuxo sp,50m,4,0,505,0
Oct,Chordata,Abudefduf saxatilis,2m,1,0,693,0
Oct,Chordata,Abudefduf saxatilis,2m,2,0,170,0
Oct,Chordata,Abudefduf saxatilis,2m,3,0,685,0
Oct,Chordata,Abudefduf saxatilis,2m,4,0,1905,0
Oct,Chordata,Abudefduf saxatilis,500m,1,0,310,0
Oct,Chordata,Abudefduf saxatilis,500m,2,0,275,0
Oct,Chordata,Abudefduf saxatilis,500m,3,0,592,0
Oct,Chordata,Abudefduf saxatilis,500m,4,0,480,0
Oct,Chordata,Abudefduf saxatilis,50m,1,0,213,0
Oct,Chordata,Abudefduf saxatilis,50m,2,0,395,0
Oct,Chordata,Abudefduf saxatilis,50m,3,0,310,0
Oct,Chordata,Abudefduf saxatilis,50m,4,0,505,0
Oct,Chordata,Carangoides bartholomaei,2m,1,0,693,0
